year,gwangju,daegu,daejeon,busan,seoul,ulsan,incheon,jeju
1980,04-07,04-04,04-09,04-01,04-11,04-04,04-20,04-01
1981,04-01,04-03,04-08,03-31,04-11,04-06,04-15,03-28
1982,03-31,03-29,04-03,03-23,04-08,03-29,04-10,03-25
1983,04-04,04-02,04-05,03-31,04-08,04-06,04-06,x
1984,04-11,04-11,04-14,04-10,04-19,04-13,x,04-04
1985,04-08,04-04,04-09,04-04,04-14,04-08,04-18,04-05
1986,04-06,04-05,04-07,04-02,04-15,04-05,04-20,04-02
1987,04-05,04-02,04-06,03-29,04-16,03-31,04-16,03-23
1988,04-08,04-06,04-08,04-04,04-13,04-09,04-17,04-05
1989,04-02,03-31,04-02,03-29,04-06,03-29,04-05,03-23
1990,03-28,03-25,03-30,03-21,04-06,03-24,04-12,03-12
1991,04-08,04-03,04-08,04-05,04-11,04-08,04-11,04-02
1992,03-26,03-30,03-30,03-25,04-02,03-29,04-04,03-09
1993,04-03,03-31,04-02,03-29,04-15,03-29,04-20,03-29
1994,04-05,04-03,04-05,03-31,04-08,04-02,04-10,03-30
1995,04-05,04-03,04-05,03-26,04-13,03-31,04-15,03-30
1996,04-14,04-09,04-11,04-07,04-20,04-06,04-21,04-04
1997,03-28,03-28,04-04,03-23,04-08,03-26,04-14,03-21
1998,03-26,03-28,03-31,03-24,04-03,03-27,04-09,03-16
1999,03-30,03-31,04-06,03-28,04-08,04-01,04-13,03-25
2000,04-02,03-31,04-05,03-31,04-10,03-31,04-15,03-28
2001,04-02,03-25,04-05,03-25,04-10,03-25,04-15,03-22
2002,03-22,03-20,03-30,03-21,04-02,03-20,04-04,03-18
2003,03-31,03-28,04-01,03-26,04-05,03-28,04-07,03-23
2004,03-27,03-23,03-30,03-21,04-05,03-24,04-09,03-17
2005,04-07,04-04,04-08,04-03,04-12,04-05,04-16,04-03
2006,03-30,03-28,04-08,03-27,04-10,03-27,04-14,03-25
2007,03-25,03-24,03-31,03-25,04-03,03-22,04-10,03-22
2008,03-31,03-27,04-03,03-25,04-06,03-26,04-08,03-23
2009,03-22,03-22,03-30,03-20,04-06,03-22,04-09,03-19
2010,03-31,04-05,04-16,03-30,04-12,04-03,04-20,03-19
2011,04-06,04-02,04-12,04-01,04-13,04-02,04-20,03-28
2012,04-08,04-04,04-11,04-05,04-15,04-06,04-19,03-30
2013,03-29,03-23,04-03,03-21,04-15,03-21,04-17,03-18
2014,03-28,03-27,03-28,03-25,03-28,03-28,03-30,03-25
2015,03-29,03-28,03-29,03-28,04-03,03-28,04-08,03-25
2016,03-29,03-25,03-31,03-28,04-02,03-28,04-06,03-21
2017,04-02,03-29,04-03,03-28,04-06,03-29,04-10,03-28
2018,03-27,03-27,03-31,03-27,04-02,03-29,04-06,03-22
2019,03-27,03-21,03-29,03-22,04-03,03-23,04-08,03-25
2020,03-23,03-21,03-24,03-23,03-27,03-23,03-30,03-24
2021,03-18,03-23,03-23,03-22,03-24,03-21,03-31,03-17
2022,03-25,03-26,03-31,03-28,04-04,03-28,04-09,03-25
2023,03-23,03-21,03-22,03-19,03-25,03-22,04-02,03-22
2024,03-27,03-27,03-30,03-25,04-01,03-28,04-03,03-23
