year,gwangju,daegu,daejeon,busan,seoul,ulsan,incheon,jeju,avg
1980,4/2,3/27,4/1,3/26,4/1,3/29,4/5,4/10,4/1
1981,3/27,4/2,4/1,3/21,4/6,3/23,4/4,4/6,3/30
1982,3/22,3/11,3/28,3/13,3/30,3/20,3/31,4/1,3/23
1983,3/28,3/26,3/26,3/21,3/30,3/24,3/30,4/6,3/27
1984,4/8,4/8,4/9,4/6,4/10,4/7,4/14,4/8,4/8
1985,3/28,4/2,4/6,3/26,4/3,3/30,4/10,4/17,4/3
1986,3/28,4/2,4/7,3/24,4/4,3/26,4/9,4/17,4/3
1987,3/23,4/5,4/2,3/14,4/5,3/17,4/7,4/12,3/30
1988,4/1,4/2,4/5,3/22,4/1,3/25,4/8,4/20,4/2
1989,3/22,3/27,3/24,2/25,3/21,3/11,3/28,3/24,3/19
1990,3/22,3/21,3/22,3/12,3/23,3/15,3/29,3/24,3/21
1991,4/3,4/3,4/6,3/13,4/7,4/1,4/9,x,4/1
1992,3/22,3/25,3/25,3/18,3/20,3/20,3/27,4/7,3/24
1993,3/26,3/27,4/1,3/15,3/31,3/24,4/3,4/12,3/29
1994,4/1,3/23,4/3,3/15,3/31,3/19,4/7,3/24,3/27
1995,3/23,3/30,3/30,3/17,3/28,3/24,3/31,4/3,3/27
1996,4/3,4/4,4/8,3/31,4/5,3/28,4/17,4/9,4/5
1997,3/25,3/22,3/29,3/18,3/19,3/15,4/7,3/25,3/23
1998,3/19,3/22,3/25,3/11,3/9,3/14,3/25,3/10,3/16
1999,3/20,3/20,3/20,3/28,3/30,3/17,4/1,3/22,3/23
2000,3/29,3/28,4/2,3/31,4/3,3/25,4/3,3/27,3/30
2001,4/2,3/25,4/1,3/26,4/9,3/23,4/9,3/31,3/31
2002,3/22,3/12,3/23,3/12,3/20,3/10,3/29,3/28,3/19
2003,3/29,3/18,3/24,3/18,3/29,3/28,4/2,3/31,3/26
2004,3/24,3/17,3/26,3/22,3/27,3/15,3/29,3/13,3/21
2005,3/28,3/25,4/6,4/2,4/7,3/28,4/11,4/3,4/2
2006,3/30,3/22,3/27,3/10,4/1,3/9,4/7,3/25,3/24
2007,3/26,3/17,3/22,3/17,3/20,3/3,4/5,3/16,3/19
2008,3/28,3/22,3/22,3/21,3/23,3/15,4/8,3/25,3/24
2009,3/19,3/19,3/20,3/17,3/21,3/9,4/5,4/1,3/21
2010,3/25,4/2,3/31,3/18,4/2,3/20,4/8,3/21,3/27
2011,4/5,3/23,4/7,3/27,4/6,3/23,4/17,4/11,4/3
2012,4/5,3/22,4/9,3/21,4/8,3/22,4/12,3/28,3/31
2013,3/25,3/17,4/2,3/12,4/5,3/7,4/17,3/6,3/23
2014,3/25,3/17,3/24,3/6,3/23,3/14,3/28,3/14,3/18
2015,3/23,3/21,3/27,3/23,3/25,3/19,3/27,3/21,3/23
2016,3/28,3/19,3/25,3/29,3/26,3/14,3/27,3/15,3/22
2017,3/27,3/17,3/24,3/24,3/29,3/20,3/26,3/22,3/23
2018,3/26,3/22,3/27,3/20,3/27,3/22,3/26,3/18,3/23
2019,3/26,3/19,3/26,3/18,3/21,3/18,3/22,x,3/21
2020,3/21,3/11,3/16,3/15,3/11,3/17,3/12,3/3,3/13
2021,3/18,3/15,3/16,3/11,3/16,3/16,3/18,2/24,3/13
2022,3/24,3/21,3/24,3/27,3/26,3/30,3/30,3/11,3/24
2023,3/21,3/15,3/16,3/17,3/19,3/18,3/22,x,3/18
2024,3/23,3/24,3/17,x,3/15,3/18,3/20,3/22,3/19
