year,gwangju,daegu,daejeon,busan,seoul,ulsan,incheon,jeju,avg
1980,3/29,3/26,4/1,3/19,3/30,3/25,4/3,3/16,3/26
1981,3/23,3/21,3/20,3/23,3/31,3/21,3/31,3/17,3/23
1982,3/22,3/21,3/20,3/15,3/24,3/20,3/24,3/15,3/20
1983,3/26,3/21,3/23,3/24,3/30,3/23,3/29,3/23,3/24
1984,4/7,3/29,4/4,3/28,4/6,3/29,4/11,3/30,4/2
1985,4/2,3/22,3/28,3/24,4/1,3/28,4/6,3/23,3/28
1986,4/1,3/22,4/1,3/23,3/30,3/29,4/3,3/21,3/27
1987,3/27,3/17,3/24,3/20,4/5,3/21,4/6,3/17,3/24
1988,4/2,3/27,4/2,3/27,4/4,3/29,4/9,3/21,3/30
1989,3/20,3/16,3/26,3/11,3/21,3/20,4/2,3/14,3/20
1990,3/21,3/9,3/22,3/12,3/19,3/16,3/28,3/13,3/17
1991,3/29,3/23,3/30,3/13,4/4,3/31,4/8,3/23,3/27
1992,3/17,3/17,3/20,3/18,3/20,3/21,3/26,3/17,3/19
1993,3/23,3/22,3/29,3/15,3/29,3/23,4/3,3/20,3/24
1994,3/29,3/22,3/28,3/21,4/3,3/18,4/5,3/24,3/26
1995,3/23,3/19,3/30,3/14,3/24,3/21,3/30,3/22,3/22
1996,3/31,3/20,3/31,3/17,4/5,3/22,4/17,3/24,3/28
1997,3/14,3/17,3/22,3/11,3/28,3/19,4/3,3/16,3/20
1998,3/12,3/15,3/20,3/8,3/21,3/17,3/28,3/10,3/16
1999,3/19,3/20,3/20,3/18,3/31,3/20,4/3,3/18,3/22
2000,3/29,3/25,3/28,3/24,3/31,3/25,4/5,3/24,3/27
2001,3/24,3/21,3/25,3/19,4/3,3/19,4/8,3/17,3/24
2002,3/15,3/9,3/21,3/11,3/21,3/11,3/28,3/7,3/15
2003,3/20,3/19,3/27,3/17,3/28,3/22,4/2,3/18,3/23
2004,3/17,3/16,3/26,3/18,3/25,3/16,3/28,3/13,3/19
2005,3/28,3/21,4/4,3/21,4/6,3/25,4/10,3/21,3/28
2006,3/14,3/10,3/24,3/11,3/28,3/11,4/1,3/8,3/17
2007,3/14,3/8,3/21,3/12,3/23,3/13,3/30,3/14,3/16
2008,3/20,3/19,3/22,3/18,3/23,3/19,3/31,3/20,3/21
2009,3/13,3/16,3/20,3/9,3/20,3/11,3/24,3/10,3/15
2010,3/14,3/19,3/31,3/14,3/27,3/20,3/30,3/12,3/20
2011,3/28,3/15,4/4,3/19,4/5,3/19,4/12,3/11,3/25
2012,3/29,3/19,3/30,3/24,4/4,3/26,4/5,3/29,3/28
2013,3/18,3/14,3/26,3/12,4/3,3/11,4/8,3/13,3/20
2014,3/16,3/16,3/21,3/6,3/25,3/17,3/27,3/13,3/17
2015,3/20,3/19,3/24,3/20,3/25,3/20,4/5,3/19,3/22
2016,3/18,3/19,3/28,3/17,3/26,3/17,3/27,3/12,3/20
2017,3/21,3/17,3/29,3/23,3/30,3/17,3/31,3/22,3/23
2018,3/17,3/20,3/27,3/15,3/27,3/18,3/30,3/14,3/21
2019,3/16,3/13,3/26,3/16,3/21,3/18,3/25,3/18,3/19
2020,3/15,3/12,3/19,3/18,3/22,3/16,3/22,3/16,3/17
2021,3/12,3/13,3/18,3/13,3/19,3/19,3/23,2/27,3/14
2022,3/14,3/19,3/27,3/23,3/30,3/26,3/31,3/17,3/23
2023,3/13,3/12,3/17,3/14,3/22,3/16,3/24,3/13,3/16
2024,3/17,3/16,3/20,3/21,3/24,3/24,3/31,3/12,3/20
